title;description;url;image
Todo App;A distraction-free web app to help you focus on creating and completing tasks.;https://github.com/ralfsales/web-toDo-app;1.png
Employees Management System;A comprehensive employee data management system designed to streamline HR operations.;https://github.com/ralfsales/Employees-Management-Application;2.png
Java and SQL integration;A System in Java language which has interaction with data base in MySQL.;https://github.com/ralfsales/Java-and-SQL-integrated;3.png
"Cupcake-Store;A Cupcake Web Store project showcasing basic web development with HTML, CSS, and JavaScript for managing and displaying cupcake orders.;https://github.com/ralfsales/Cupcake-Store;4.png"
Files Encryption App;This is a simple Python-based tool that allows users to encrypt and decrypt text files using the Fernet symmetric encryption scheme from the cryptography library.;https://github.com/ralfsales/File-Encryption-Decryption-Tool-GUI-;5.png
Phishing Awareness Website;A website designed to educate users on identifying and avoiding phishing attacks.;https://github.com/ralfsales/Phishing-Awareness-Website;6.png
Password Strength Checker;A Python-based application with a graphical user interface (GUI) built using Tkinter.;https://github.com/ralfsales/Password-Strength-Checker;7.png
"Log File Analyzer;It is a Python-based desktop application that allows users to analyze log files for insights such as log entry counts, filtering by keywords, and viewing detailed log content.;https://github.com/ralfsales/Log-File-Analyzer-GUI;8.png"
XSS Detection Script;This Python script detects potential Cross-Site Scripting (XSS) attacks in user input using regular expressions.;https://github.com/ralfsales/XSS-Detection-Script;9.png
Java To-Do App;This is a simple Java Swing-based To-Do List Application that allows users to efficiently manage tasks. It features a graphical user interface (GUI);https://github.com/ralfsales/Simple-To-Do-list-in-Java-and-GUI;10.png
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://github.com/ralfsales/Web-Portfolio;11.png
